mechanism,strategy,random_state,target_feature,missing_rate,condition_feature,acc
MAR,nonlinear,952,residual_sugar,0.2,alcohol,0.6729828850855746
MCAR,none,952,residual_sugar,0.2,,0.48361626529806556
MAR,basic,952,residual_sugar,0.30000000000000004,alcohol,0.6664125047655356
MAR,double_threshold,952,residual_sugar,0.30000000000000004,"['alcohol', 'density']",0.9361702127659575
MAR,range_condition,952,residual_sugar,0.30000000000000004,alcohol,0.8310727496917386
MAR,nonlinear,952,residual_sugar,0.30000000000000004,alcohol,0.681965881397238
MCAR,none,952,residual_sugar,0.30000000000000004,,0.49464332375228637
MAR,basic,952,residual_sugar,0.4,alcohol,0.6856235565819861
MAR,double_threshold,952,residual_sugar,0.4,"['alcohol', 'density']",0.9635135135135136
MAR,range_condition,952,residual_sugar,0.4,alcohol,0.8322368421052632
MAR,nonlinear,952,residual_sugar,0.4,alcohol,0.7193956213382671
MCAR,none,952,residual_sugar,0.4,,0.5041257367387033
MAR,basic,952,residual_sugar,0.5,alcohol,0.7061677061677062
MAR,double_threshold,952,residual_sugar,0.5,"['alcohol', 'density']",0.9527389903329753
MAR,range_condition,952,residual_sugar,0.5,alcohol,0.8599324070597071
MAR,nonlinear,952,residual_sugar,0.5,alcohol,0.7372713791398913
MCAR,none,952,residual_sugar,0.5,,0.501123595505618
MAR,basic,952,residual_sugar,0.6000000000000001,alcohol,0.7403753143741536
MAR,double_threshold,952,residual_sugar,0.6000000000000001,"['alcohol', 'density']",0.9626334519572953
MAR,range_condition,952,residual_sugar,0.6000000000000001,alcohol,0.871585557299843
MAR,nonlinear,952,residual_sugar,0.6000000000000001,alcohol,0.7623578076525336
MCAR,none,952,residual_sugar,0.6000000000000001,,0.49387918924342766
MAR,basic,952,residual_sugar,0.7000000000000001,alcohol,0.78156146179402
MAR,double_threshold,952,residual_sugar,0.7000000000000001,"['alcohol', 'density']",0.9693251533742331
MAR,range_condition,952,residual_sugar,0.7000000000000001,alcohol,0.9020827698133622
MAR,nonlinear,952,residual_sugar,0.7000000000000001,alcohol,0.8050426136363636
MCAR,none,952,residual_sugar,0.7000000000000001,,0.5061497326203208
MAR,basic,952,residual_sugar,0.8,alcohol,0.830090340514246
MAR,double_threshold,952,residual_sugar,0.8,"['alcohol', 'density']",0.9745137491616365
MAR,range_condition,952,residual_sugar,0.8,alcohol,0.932001902044698
MAR,nonlinear,952,residual_sugar,0.8,alcohol,0.847457627118644
MCAR,none,952,residual_sugar,0.8,,0.5047581284694687
MAR,basic,952,residual_sugar,0.9,alcohol,0.9096091205211726
MAR,double_threshold,952,residual_sugar,0.9,"['alcohol', 'density']",0.9928528886241811
MAR,range_condition,952,residual_sugar,0.9,alcohol,0.9647483542153323
MAR,nonlinear,952,residual_sugar,0.9,alcohol,0.9164510166358595
MCAR,none,952,residual_sugar,0.9,,0.5007949125596184
MAR,basic,16,free_sulfur_dioxide,0.1,alcohol,0.6820143884892086
MAR,double_threshold,16,free_sulfur_dioxide,0.1,"['alcohol', 'fixed_acidity']",0.8609467455621301
MAR,range_condition,16,free_sulfur_dioxide,0.1,alcohol,0.7779751332149201
MAR,nonlinear,16,free_sulfur_dioxide,0.1,alcohol,0.8022727272727272
MCAR,none,16,free_sulfur_dioxide,0.1,,0.5147881694644284
MAR,basic,16,free_sulfur_dioxide,0.2,alcohol,0.6896057347670251
MAR,double_threshold,16,free_sulfur_dioxide,0.2,"['alcohol', 'fixed_acidity']",0.877643504531722
MAR,range_condition,16,free_sulfur_dioxide,0.2,alcohol,0.7608695652173914
